Motorvoertuigenpark," inwoners, type, regio, 1 januari",,,,,,,,,,
Periods: 2018,,,,,,,,,,,
,Topic,,,,,,,,,,
,Wegvoertuigen|Totaal wegvoertuigen,Wegvoertuigen|Totaal motorvoertuigen,Personenauto's|Totaal personenauto's,Personenauto's|Personenauto's (relatief),Personenauto's|In bezit natuurlijke personen,Personenauto's|In bezit natuurlijke personen (relatief),Bedrijfsvoertuigen|Totaal bedrijfsvoertuigen|Totaal bedrijfsvoertuigen,Bedrijfsvoertuigen|Totaal bedrijfsvoertuigen|Totaal bedrijfsmotorvoertuigen,Bedrijfsvoertuigen|Totaal bedrijfsvoertuigen|Totaal aanhangwagens en opleggers,Motorfietsen|Totaal motorfietsen,Motorfietsen|Motorfietsen (relatief)
Regions,number of,number of,number of,per 1000 inhabitants,number of,per 1000 inhabitants,number of,number of,number of,number of,per 1000 inhabitants
The Netherlands,11287017,10127174,8373244,487,7420857,432,2252134,1092291,1159843,661639,39
Groningen (PV),379210,332126,270118,463,252547,433,83475,36391,47084,25617,44
Friesland (PV),471583,408485,323628,500,306290,473,117189,54091,63098,30766,48
Drenthe (PV),374906,322307,260367,529,247882,504,88209,35610,52599,26330,54
Overijssel (PV),803909,697565,568043,493,521956,453,185253,78909,106344,50613,44
Flevoland (PV),441940,418004,354501,861,170037,413,72150,48214,23936,15289,37
Gelderland (PV),1404297,1236817,1011151,491,947914,460,307253,139773,167480,85893,42
Utrecht (PV),860348,792950,664987,513,522298,403,151357,83959,67398,44004,34
North Holland (PV),1579307,1453515,1199410,424,1067480,377,275676,149884,125792,104221,37
South Holland (PV),2055039,1870488,1570941,427,1431641,389,371543,186992,184551,112555,31
Zealand (PV),281722,247440,200792,525,190515,498,63281,28999,34282,17649,46
North Brabant (PV),1855827,1653716,1367465,541,1206630,477,386722,184611,202111,101640,40
Limburg (PV),778929,693761,581841,521,555667,497,150026,64858,85168,47062,42
Bron: CBS,,,,,,,,,,,
