Motorvoertuigenpark," inwoners, type, regio, 1 januari",,,,,,,,,,
Periods: 2017,,,,,,,,,,,
,Topic,,,,,,,,,,
,Wegvoertuigen|Totaal wegvoertuigen,Wegvoertuigen|Totaal motorvoertuigen,Personenauto's|Totaal personenauto's,Personenauto's|Personenauto's (relatief),Personenauto's|In bezit natuurlijke personen,Personenauto's|In bezit natuurlijke personen (relatief),Bedrijfsvoertuigen|Totaal bedrijfsvoertuigen|Totaal bedrijfsvoertuigen,Bedrijfsvoertuigen|Totaal bedrijfsvoertuigen|Totaal bedrijfsmotorvoertuigen,Bedrijfsvoertuigen|Totaal bedrijfsvoertuigen|Totaal aanhangwagens en opleggers,Motorfietsen|Totaal motorfietsen,Motorfietsen|Motorfietsen (relatief)
Regions,number of,number of,number of,per 1000 inhabitants,number of,per 1000 inhabitants,number of,number of,number of,number of,per 1000 inhabitants
The Netherlands,11076215,9937732,8222974,481,7297664,427,2197250,1058767,1138483,655991,38
Groningen (PV),373359,326953,265895,456,248616,426,81914,35508,46406,25550,44
Friesland (PV),461927,400073,317330,491,300617,465,114105,52251,61854,30492,47
Drenthe (PV),369931,317905,256962,523,243972,496,86847,34821,52026,26122,53
Overijssel (PV),786317,681991,555974,484,513098,447,179910,75584,104326,50433,44
Flevoland (PV),425744,402211,341011,836,165679,406,69569,46036,23533,15164,37
Gelderland (PV),1376156,1212090,992120,484,930989,455,298719,134653,164066,85317,42
Utrecht (PV),841301,774506,650069,506,513813,400,147764,80969,66795,43468,34
North Holland (PV),1555347,1431039,1181698,421,1052275,375,270465,146157,124308,103184,37
South Holland (PV),2016638,1835740,1543009,423,1406808,385,362737,181839,180898,110892,30
Zealand (PV),276549,243283,197551,518,187649,492,61503,28237,33266,17495,46
North Brabant (PV),1825489,1627786,1348054,537,1186111,472,376399,178696,197703,101036,40
Limburg (PV),767457,684155,573301,513,548037,490,147318,64016,83302,46838,42
Bron: CBS,,,,,,,,,,,
