Month;Season;Year;Date;Cases
;;2019;01/01/2019;0
;;2019;02/01/2019;0
;;2019;03/01/2019;0
;;2019;04/01/2019;0
;;2019;05/01/2019;0
;;2019;06/01/2019;0
;;2019;07/01/2019;0
;;2019;08/01/2019;0
;;2019;09/01/2019;0
;;2019;10/01/2019;0
;;2019;11/01/2019;0
;;2019;12/01/2019;0
;;2019;13/01/2019;0
;;2019;14/01/2019;0
;;2019;15/01/2019;0
;;2019;16/01/2019;0
;;2019;17/01/2019;0
;;2019;18/01/2019;0
;;2019;19/01/2019;0
;;2019;20/01/2019;0
;;2019;21/01/2019;0
;;2019;22/01/2019;0
;;2019;23/01/2019;0
;;2019;24/01/2019;0
;;2019;25/01/2019;0
;;2019;26/01/2019;0
;;2019;27/01/2019;0
;;2019;28/01/2019;0
;;2019;29/01/2019;0
;;2019;30/01/2019;0
;;2019;31/01/2019;0
;;2019;01/02/2019;0
;;2019;02/02/2019;0
;;2019;03/02/2019;0
;;2019;04/02/2019;0
;;2019;05/02/2019;0
;;2019;06/02/2019;0
;;2019;07/02/2019;0
;;2019;08/02/2019;0
;;2019;09/02/2019;0
;;2019;10/02/2019;0
;;2019;11/02/2019;0
;;2019;12/02/2019;0
;;2019;13/02/2019;0
;;2019;14/02/2019;0
;;2019;15/02/2019;0
;;2019;16/02/2019;0
;;2019;17/02/2019;0
;;2019;18/02/2019;0
;;2019;19/02/2019;0
;;2019;20/02/2019;0
;;2019;21/02/2019;0
;;2019;22/02/2019;0
;;2019;23/02/2019;0
;;2019;24/02/2019;0
;;2019;25/02/2019;0
;;2019;26/02/2019;0
;;2019;27/02/2019;0
;;2019;28/02/2019;0
;;2019;01/03/2019;0
;;2019;02/03/2019;0
;;2019;03/03/2019;0
;;2019;04/03/2019;0
;;2019;05/03/2019;0
;;2019;06/03/2019;0
;;2019;07/03/2019;0
;;2019;08/03/2019;0
;;2019;09/03/2019;0
;;2019;10/03/2019;0
;;2019;11/03/2019;0
;;2019;12/03/2019;0
;;2019;13/03/2019;0
;;2019;14/03/2019;0
;;2019;15/03/2019;0
;;2019;16/03/2019;0
;;2019;17/03/2019;0
;;2019;18/03/2019;0
;;2019;19/03/2019;0
;;2019;20/03/2019;0
;;2019;21/03/2019;0
;;2019;22/03/2019;0
;;2019;23/03/2019;0
;;2019;24/03/2019;0
;;2019;25/03/2019;0
;;2019;26/03/2019;0
;;2019;27/03/2019;0
;;2019;28/03/2019;0
;;2019;29/03/2019;0
;;2019;30/03/2019;0
;;2019;31/03/2019;0
;;2019;01/04/2019;0
;;2019;02/04/2019;0
;;2019;03/04/2019;0
;;2019;04/04/2019;0
;;2019;05/04/2019;0
;;2019;06/04/2019;0
;;2019;07/04/2019;0
;;2019;08/04/2019;0
;;2019;09/04/2019;0
;;2019;10/04/2019;0
;;2019;11/04/2019;0
;;2019;12/04/2019;0
;;2019;13/04/2019;0
;;2019;14/04/2019;0
;;2019;15/04/2019;0
;;2019;16/04/2019;0
;;2019;17/04/2019;0
;;2019;18/04/2019;0
;;2019;19/04/2019;0
;;2019;20/04/2019;0
;;2019;21/04/2019;0
;;2019;22/04/2019;0
;;2019;23/04/2019;0
;;2019;24/04/2019;0
;;2019;25/04/2019;0
;;2019;26/04/2019;0
;;2019;27/04/2019;0
;;2019;28/04/2019;0
;;2019;29/04/2019;0
;;2019;30/04/2019;0
;;2019;01/05/2019;0
;;2019;02/05/2019;0
;;2019;03/05/2019;0
;;2019;04/05/2019;0
;;2019;05/05/2019;0
;;2019;06/05/2019;0
;;2019;07/05/2019;0
;;2019;08/05/2019;0
;;2019;09/05/2019;0
;;2019;10/05/2019;0
;;2019;11/05/2019;0
;;2019;12/05/2019;0
;;2019;13/05/2019;0
;;2019;14/05/2019;0
;;2019;15/05/2019;0
;;2019;16/05/2019;0
;;2019;17/05/2019;0
;;2019;18/05/2019;0
;;2019;19/05/2019;0
;;2019;20/05/2019;0
;;2019;21/05/2019;0
;;2019;22/05/2019;0
;;2019;23/05/2019;0
;;2019;24/05/2019;0
;;2019;25/05/2019;0
;;2019;26/05/2019;0
;;2019;27/05/2019;0
;;2019;28/05/2019;0
;;2019;29/05/2019;0
;;2019;30/05/2019;0
;;2019;31/05/2019;0
;;2019;01/06/2019;0
;;2019;02/06/2019;0
;;2019;03/06/2019;0
;;2019;04/06/2019;0
;;2019;05/06/2019;0
;;2019;06/06/2019;0
;;2019;07/06/2019;0
;;2019;08/06/2019;0
;;2019;09/06/2019;0
;;2019;10/06/2019;0
;;2019;11/06/2019;0
;;2019;12/06/2019;0
;;2019;13/06/2019;0
;;2019;14/06/2019;0
;;2019;15/06/2019;0
;;2019;16/06/2019;0
;;2019;17/06/2019;0
;;2019;18/06/2019;0
;;2019;19/06/2019;0
;;2019;20/06/2019;0
;;2019;21/06/2019;0
;;2019;22/06/2019;0
;;2019;23/06/2019;0
;;2019;24/06/2019;0
;;2019;25/06/2019;0
;;2019;26/06/2019;0
;;2019;27/06/2019;0
;;2019;28/06/2019;0
;;2019;29/06/2019;0
;;2019;30/06/2019;0
;;2019;01/07/2019;0
;;2019;02/07/2019;0
;;2019;03/07/2019;0
;;2019;04/07/2019;0
;;2019;05/07/2019;0
;;2019;06/07/2019;0
;;2019;07/07/2019;0
;;2019;08/07/2019;0
;;2019;09/07/2019;0
;;2019;10/07/2019;0
;;2019;11/07/2019;0
;;2019;12/07/2019;0
;;2019;13/07/2019;0
;;2019;14/07/2019;0
;;2019;15/07/2019;0
;;2019;16/07/2019;0
;;2019;17/07/2019;0
;;2019;18/07/2019;0
;;2019;19/07/2019;0
;;2019;20/07/2019;0
;;2019;21/07/2019;0
;;2019;22/07/2019;0
