Mobiliteitstrend," per rit, vervoerwijzen, reismotief, leeftijd en geslacht",,,,,,,,,,,,,,,,,
Sex: Total men and women,,,,,,,,,,,,,,,,,,
margins: Where the,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Transport modes,Total,Total,Car (driver),Car (driver),Car (passenger),Car (passenger),Train,Train,Bus/tram/metro,Bus/tram/metro,Bicycle,Bicycle,To walk,To walk,Other mode of transport,Other mode of transport
,,Topic,Ritten per persoon per dag (gemiddeld),Afgelegde afstand per rit (gemiddeld),Ritten per persoon per dag (gemiddeld),Afgelegde afstand per rit (gemiddeld),Ritten per persoon per dag (gemiddeld),Afgelegde afstand per rit (gemiddeld),Ritten per persoon per dag (gemiddeld),Afgelegde afstand per rit (gemiddeld),Ritten per persoon per dag (gemiddeld),Afgelegde afstand per rit (gemiddeld),Ritten per persoon per dag (gemiddeld),Afgelegde afstand per rit (gemiddeld),Ritten per persoon per dag (gemiddeld),Afgelegde afstand per rit (gemiddeld),Ritten per persoon per dag (gemiddeld),Afgelegde afstand per rit (gemiddeld)
Periods,Age,Travel motives,number of,km,number of,km,number of,km,number of,km,number of,km,number of,km,number of,km,number of,km
2017*,Total,Total,2.81,10.38,0.84,18.09,0.36,16.61,0.07,42.97,0.11,7.53,0.73,3.4,0.63,1.27,0.07,12.93
2017*,Total,To and from work,0.56,15.74,0.25,24.67,0.02,23.2,0.03,36.76,0.03,7.17,0.13,4.15,0.08,0.84,0.02,17.6
2017*,Total,Shopping,,,,,,,,,,,,,,,,
2017*,Total,Follow education,,,,,,,,,,,,,,,,
2017*,Total,Other travel motives,1.35,11.62,0.4,18.35,0.24,19.94,0.02,57.08,0.04,7.54,0.3,3.78,0.32,1.68,0.03,12.95
2017*,18 to 25 years,Total,3.44,10.5,0.69,17.63,0.31,20.25,0.25,40.45,0.4,8.02,0.83,3.23,0.86,0.92,0.1,10.91
2017*,18 to 25 years,To and from work,0.75,11.23,0.24,19.91,0.04,19.39,0.04,32.24,0.07,7.27,0.2,3.56,0.14,0.75,0.03,11.95
2017*,18 to 25 years,Shopping,,,,,,,,,,,,,,,,
2017*,18 to 25 years,Follow education,,,,,,,,,,,,,,,,
2017*,18 to 25 years,Other travel motives,1.4,12.01,0.32,16.84,0.21,21.92,0.07,54.1,0.11,8.43,0.33,3.33,0.32,1.26,0.04,11.5
2017*,60 to 65 years,Total,2.59,11.38,0.97,17.95,0.24,20.93,0.04,49.46,0.07,6.96,0.66,4.03,0.54,1,,
2017*,60 to 65 years,To and from work,0.58,15.09,0.27,23.25,0.02,21.57,0.02,37.53,0.03,7.22,0.15,4.28,0.07,0.9,0.02,16.75
2017*,60 to 65 years,Shopping,,,,,,,,,,,,,,,,
2017*,60 to 65 years,Follow education,,,,,,,,,,,,,,,,
2017*,60 to 65 years,Other travel motives,1.29,13.35,0.46,20.05,0.16,25.14,0.02,64.61,0.03,7.13,0.27,5.4,0.33,2.19,0.03,14.46
2018*,Total,Total,2.89,10.37,0.86,18.26,0.37,16.78,0.07,42.48,0.11,7.24,0.76,3.44,0.65,1.28,0.07,13.23
2018*,Total,To and from work,0.58,15.68,0.26,24.87,0.02,22.99,0.03,36.62,0.03,7.08,0.14,4.16,0.08,0.79,0.02,17.66
2018*,Total,Shopping,,,,,,,,,,,,,,,,
2018*,Total,Follow education,,,,,,,,,,,,,,,,
2018*,Total,Other travel motives,1.41,11.53,0.41,18.52,0.24,20.23,0.02,55.52,0.04,6.76,0.33,3.83,0.34,1.72,0.03,13.86
2018*,18 to 25 years,Total,3.48,10.41,0.7,17.78,0.31,20.37,0.24,40.2,0.4,7.81,0.86,3.24,0.88,0.9,0.09,11.01
2018*,18 to 25 years,To and from work,0.76,11.12,0.24,20,0.03,19.18,0.04,32.06,0.07,7.19,0.2,3.56,0.14,0.71,0.03,11.88
2018*,18 to 25 years,Shopping,,,,,,,,,,,,,,,,
2018*,18 to 25 years,Follow education,,,,,,,,,,,,,,,,
