Motorvoertuigenpark," inwoners, type, regio, 1 januari",,,,,,,,,,
Periods: 2020,,,,,,,,,,,
,Topic,,,,,,,,,,
,Wegvoertuigen|Totaal wegvoertuigen,Wegvoertuigen|Totaal motorvoertuigen,Personenauto's|Totaal personenauto's,Personenauto's|Personenauto's (relatief),Personenauto's|In bezit natuurlijke personen,Personenauto's|In bezit natuurlijke personen (relatief),Bedrijfsvoertuigen|Totaal bedrijfsvoertuigen|Totaal bedrijfsvoertuigen,Bedrijfsvoertuigen|Totaal bedrijfsvoertuigen|Totaal bedrijfsmotorvoertuigen,Bedrijfsvoertuigen|Totaal bedrijfsvoertuigen|Totaal aanhangwagens en opleggers,Motorfietsen|Totaal motorfietsen,Motorfietsen|Motorfietsen (relatief)
Regions,number of,number of,number of,per 1000 inhabitants,number of,per 1000 inhabitants,number of,number of,number of,number of,per 1000 inhabitants
The Netherlands,11703420,10510690,8677911,499,7638298,439,2345661,1152931,1192730,679848,39
Groningen (PV),397268,349156,283649,484,259623,443,87578,39466,48112,26041,44
Friesland (PV),490749,425316,336672,518,317097,488,122631,57198,65433,31446,48
Drenthe (PV),389115,335377,270747,548,256349,519,91282,37544,53738,27086,55
Overijssel (PV),830629,721676,587465,505,537406,462,191724,82771,108953,51440,44
Flevoland (PV),469734,445027,380058,898,179105,423,73966,49259,24707,15710,37
Gelderland (PV),1458076,1283217,1048001,502,979926,470,321807,146948,174859,88268,42
Utrecht (PV),930510,857978,716170,529,553402,408,167805,95273,72532,46535,34
North Holland (PV),1622556,1496017,1233058,428,1093142,380,282861,156322,126539,106637,37
South Holland (PV),2106637,1919272,1607952,434,1455773,393,382231,194866,187365,116454,31
Zealand (PV),289332,254365,206057,537,195339,509,65160,30193,34967,18115,47
North Brabant (PV),1922389,1713961,1413208,551,1242475,485,404829,196401,208428,104352,41
Limburg (PV),796425,709328,594874,532,568661,509,153787,66690,87097,47764,43
Bron: CBS,,,,,,,,,,,
