,Regions,The Netherlands,The Netherlands,The Netherlands,The Netherlands,The Netherlands,The Netherlands,The Netherlands,The Netherlands,The Netherlands,The Netherlands,The Netherlands,The Netherlands,Friesland (PV),Friesland (PV),Friesland (PV),Friesland (PV),Friesland (PV),Friesland (PV),Friesland (PV),Friesland (PV),Friesland (PV),Friesland (PV),Friesland (PV),Friesland (PV),Utrecht (PV),Utrecht (PV),Utrecht (PV),Utrecht (PV),Utrecht (PV),Utrecht (PV),Utrecht (PV),Utrecht (PV),Utrecht (PV),Utrecht (PV),Utrecht (PV),Utrecht (PV),South Holland (PV),South Holland (PV),South Holland (PV),South Holland (PV),South Holland (PV),South Holland (PV),South Holland (PV),South Holland (PV),South Holland (PV),South Holland (PV),South Holland (PV),South Holland (PV)
,Topic,Gemiddeld per persoon per dag |Verplaatsingen ,Gemiddeld per persoon per dag |Verplaatsingen ,Gemiddeld per persoon per dag |Verplaatsingen ,Gemiddeld per persoon per dag |Verplaatsingen ,Gemiddeld per persoon per dag |Afstand ,Gemiddeld per persoon per dag |Afstand ,Gemiddeld per persoon per dag |Afstand ,Gemiddeld per persoon per dag |Afstand ,Gemiddeld per persoon per dag |Reisduur,Gemiddeld per persoon per dag |Reisduur,Gemiddeld per persoon per dag |Reisduur,Gemiddeld per persoon per dag |Reisduur,Gemiddeld per persoon per dag |Verplaatsingen ,Gemiddeld per persoon per dag |Verplaatsingen ,Gemiddeld per persoon per dag |Verplaatsingen ,Gemiddeld per persoon per dag |Verplaatsingen ,Gemiddeld per persoon per dag |Afstand ,Gemiddeld per persoon per dag |Afstand ,Gemiddeld per persoon per dag |Afstand ,Gemiddeld per persoon per dag |Afstand ,Gemiddeld per persoon per dag |Reisduur,Gemiddeld per persoon per dag |Reisduur,Gemiddeld per persoon per dag |Reisduur,Gemiddeld per persoon per dag |Reisduur,Gemiddeld per persoon per dag |Verplaatsingen ,Gemiddeld per persoon per dag |Verplaatsingen ,Gemiddeld per persoon per dag |Verplaatsingen ,Gemiddeld per persoon per dag |Verplaatsingen ,Gemiddeld per persoon per dag |Afstand ,Gemiddeld per persoon per dag |Afstand ,Gemiddeld per persoon per dag |Afstand ,Gemiddeld per persoon per dag |Afstand ,Gemiddeld per persoon per dag |Reisduur,Gemiddeld per persoon per dag |Reisduur,Gemiddeld per persoon per dag |Reisduur,Gemiddeld per persoon per dag |Reisduur,Gemiddeld per persoon per dag |Verplaatsingen ,Gemiddeld per persoon per dag |Verplaatsingen ,Gemiddeld per persoon per dag |Verplaatsingen ,Gemiddeld per persoon per dag |Verplaatsingen ,Gemiddeld per persoon per dag |Afstand ,Gemiddeld per persoon per dag |Afstand ,Gemiddeld per persoon per dag |Afstand ,Gemiddeld per persoon per dag |Afstand ,Gemiddeld per persoon per dag |Reisduur,Gemiddeld per persoon per dag |Reisduur,Gemiddeld per persoon per dag |Reisduur,Gemiddeld per persoon per dag |Reisduur
,Periods,2018,2019,2020,2021,2018,2019,2020,2021,2018,2019,2020,2021,2018,2019,2020,2021,2018,2019,2020,2021,2018,2019,2020,2021,2018,2019,2020,2021,2018,2019,2020,2021,2018,2019,2020,2021,2018,2019,2020,2021,2018,2019,2020,2021,2018,2019,2020,2021
Transport modes,Travel motives,number of,number of,number of,number of,passenger kilometers,passenger kilometers,passenger kilometers,passenger kilometers,minutes,minutes,minutes,minutes,number of,number of,number of,number of,passenger kilometers,passenger kilometers,passenger kilometers,passenger kilometers,minutes,minutes,minutes,minutes,number of,number of,number of,number of,passenger kilometers,passenger kilometers,passenger kilometers,passenger kilometers,minutes,minutes,minutes,minutes,number of,number of,number of,number of,passenger kilometers,passenger kilometers,passenger kilometers,passenger kilometers,minutes,minutes,minutes,minutes
Total,Total,2.78,2.71,2.35,2.51,36.16,36,24.88,27.24,74.6,74.39,61.96,69.85,2.7,2.63,2.51,2.49,42.6,43.52,29.52,32.12,75,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,To and from work,0.55,0.5,0.37,0.37,10.55,9.72,6.16,6.13,16.24,15.1,9.66,9.59,0.55,0.49,0.41,0.42,12,10.44,6.8,7.75,14.73,12.57,9.22,10.4,0.57,0.51,0.35,0.35,11.01,11.38,6.52,6.44,17.62,16.82,9.8,9.81,0.54,0.5,0.34,0.34,9.92,8.92,5.54,5.08,17.02,16.05,9.62,9.31
Total,Shopping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,Going out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,Touring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passenger car (driver),Total,0.96,0.95,0.81,0.82,18.16,18.02,13.14,14.05,24.52,24.52,18.63,19.99,1.01,0.97,0.93,0.92,22.01,22.87,17.42,17.51,25.71,26.35,21.41,21.4,0.91,0.89,0.73,0.76,18.71,19.88,13.71,14.16,24.03,25.68,18.48,19.27,0.88,0.86,0.68,0.72,16.14,15.82,11.71,11.94,23.98,23.5,17.47,18.38
Passenger car (driver),To and from work,0.27,0.25,0.19,0.19,6.79,6.2,4.37,4.33,8.33,7.59,5.34,5.24,0.31,0.27,0.22,0.23,8.12,7.66,5.44,6.35,8.45,7.65,5.92,6.4,0.25,0.24,0.17,0.17,6.66,7.18,4.49,4.35,8.12,8.37,5.18,5.06,0.24,0.22,0.17,0.16,5.96,5.13,3.84,3.36,8.12,7.22,4.97,4.65
Passenger car (driver),Shopping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passenger car (driver),Going out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passenger car (driver),Touring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passenger car (passenger),Total,0.32,0.31,0.24,0.26,6.66,6.65,4.37,5.1,9.28,9.38,6.66,7.81,0.33,0.34,0.29,0.27,8.65,10.53,4.75,6.71,11.19,12.39,7.52,9.51,0.3,0.32,0.22,0.25,6.89,7.85,4.51,5.69,9.66,10.15,6.39,8.19,0.29,0.3,0.22,0.24,5.8,6.02,4.11,4.89,8.54,9.02,6.67,7.59
Passenger car (passenger),To and from work,0.02,0.01,0.01,0.01,0.41,0.38,0.21,0.23,0.55,0.47,0.3,0.35,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.01,.,.,.,0.24,.,.,.,0.34,0.02,0.01,0.01,0.01,0.34,0.34,0.17,0.2,0.55,0.46,0.29,0.36
Passenger car (passenger),Shopping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passenger car (passenger),Going out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passenger car (passenger),Touring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Train,Total,0.08,0.08,0.03,0.03,3.88,4.08,1.6,1.67,6.11,6.39,2.53,2.77,0.05,.,.,.,2.84,.,.,.,3.92,.,.,.,0.11,0.13,0.05,0.05,4.81,5.79,2.31,2.27,8.32,9.34,3.99,3.88,0.09,0.09,0.03,0.04,3.68,3.88,1.3,1.67,6.21,6.46,2.32,3.05
